Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
C516_D1_G3	0.66208927473523	0	0.863854753339584	0	0	7.3684676302235	0	0	0.0496931500714708	0	0.83020540279746	0.502604329884105	0	1.28312723046069	0.135118882563114	0	0.302120770463557	0	0	0.510652268528815	0.283679155659025	0	0.296	0.0335687503373462	1.10584495465939	12.7916128487266
C516_D1_G5	2.8247124885063	0	0	0.61175333943601	0	2.56226041196652	0	0.411381675142637	0	0	0.0295728115182624	0	0.317801807656044	0.69941940512302	0.212321797730494	0	0.25638458921684	0.636458971053395	0	0.309616811722236	0.442688821646665	0	0.446	0.0127419423567618	1.09169138529321	9.31437293071842
C516_D1_G6	1.8649969335046	0	0	0.60673111675213	0	2.1464370537759	0.672083620136996	1.2071398526758	0.0520807738662661	0	1.12491404966545	0	0	1.51210905054877	0.1548598882967	0.189751291049906	0.266713283467744	0.210516129641663	0	0.329154087321679	0.419304721230953	0	0.37	0.0210747300847821	1.08344042482382	10.7567918519346
C516_E1_B1	3.6631423312941	0	0.265490297052602	0	0	4.25089687628335	0	0	0.198492853567354	0.185976321664866	0.191311704212765	0.20212573537415	0.393416765791234	3.5677380875926	0	0	0	0.11126142608419	0	0.580581181064693	0.0380265296003698	0.213557776248748	0.727	-0.0145769856898003	1.1099443938584	13.862017885831
C518_B1_G1	0.605847988054273	0	0.011935647411171	1.25344553831251	0	4.46591093084292	0	0	0	0	1.28790608116502	0	0	1.67161439266008	0	0.03014109927574	0	0	0	0.889118094535145	0	1.51063584457583	0.424	0.0146457042710429	1.11751583361731	11.7265556168327
C518_B1_G6	0	0	0.142183293123165	0	1.58036556837461	3.20250779033221	0	0	0.581823062749684	0.602134036279402	0.486456917175651	0	0	4.88465552205002	0.0925029272380853	0	0	0	0	1.31039588516805	0	1.02535183942404	0.163	0.0671735944050419	1.09851948293364	13.9083768419149
C518_B1_G9	0.733650892767934	0	0.141081543912748	2.24059122947858	0	4.58093193632156	0	0	0	0	3.59445652576379	0	1.44759732069674	1.69895826343221	0.0857218660409382	0.181810546156812	0	0.0180674118818506	0	4.70770894154818	0.391020871145883	0	0.085	0.110143554054241	1.08312642911594	19.8215973491472
C518_C1_G1	2.85991151054726	0	0.938855994291544	0.315547386573367	0	2.18395225645126	0	2.08135122036621	1.34989373626313	0.464243954214598	0.124218093417532	1.5108146640166	0.435040272794868	3.41063973659247	0.24951484524012	1.2988672881789	0.0767933126069983	0	0	4.42601347295127	0.769731115252584	1.0925291953963	0.13	0.0810797015706454	1.06684225648952	23.587918055155
C518_C1_G10	0	1.07233288280568	0	0	0.312064317565562	2.0666098741882	0	0.373914877022907	1.09792278307017	0	1.72987297124202	0	0.64000588503083	10.0176832059812	0	0	0	0	0	2.77115871056343	0.393809278691977	0.237949133736006	0.013	0.224767450744121	1.03922912903267	20.713323919898
C518_D1_B1	0.963488200318377	0	1.41946541691913	2.18950431107068	3.75299233449375	0	0.651471462627119	0	0.812286349539069	0	2.2465957925609	0	0.195779983577433	0.160230662300851	0	0	1.56185718166734	0.408224145250273	0.620578758956759	1.04103984429131	0	0	0.053	0.130360390574707	1.04063057791179	16.023514443573
C518_D1_G10	0.602098291314686	0	0.866447699289195	1.31227450371708	0	0.621960253842865	5.8078020663517	1.37094309690521	1.07176872469546	0	3.48260826000724	0	0.165444266833314	1.66186935143026	0	0	0.681227495274742	0.145471808189742	0	6.33246024017636	0.171121390238187	0.339353002546983	0.012	0.233082372893258	1.01585167667205	24.632850450813
C518_D1_G9	0.368951090336421	0	0	0	0	6.42363945700423	0	0	0.264815283916041	0	5.30021700532277	0	0	5.13428227367341	0.54281715215479	1.21186448350654	0	0	0	5.2792849904747	0.228690306511949	0.011100323326782	0.126	0.0825007366776737	1.09942976825112	24.7656623662276
C519_C1_B1	1.41081868949903	0	0.206908467152602	2.29731397078468	0	0	1.02115696929898	0	1.22253045722826	0	1.37095682961681	0	0.359692047669661	2.62186416678365	0.185168886510141	1.1275500264761	0	0	0	0.401073179305671	0.259818581211754	0	0.01	0.241331050448087	0.991369960949214	12.4848522715373
C519_E1_B1	11.0230658394963	0	2.55071489314204	1.16485279467252	0	7.94979316774708	0.213926578879815	0	0	0	1.08247394606474	0	0.406087311413626	0	0	1.36702629643838	0	0	0	0	2.16469831933646	0	0.407	0.0163161801214917	1.10264202666672	27.9226391471909
